SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
1,-1,3,58,10,12.1453,0,0,1,False,True,19.0,0.1,18.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,4.2505,0,0,1,False,True,22.0,0.31,17.0,0.7622,0.7,0.0,3.1,3.4
0,1,13,225,71,14.955,0,0,1,True,True,17.0,0.06,22.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,21,4,12.4629,0,0,1,False,True,21.0,0.17,22.0,0.5266,23.5,3.0,9.9,3.4
1,-1,1,22,0,5.1845,0,0,1,False,True,22.0,0.14,16.0,0.6489,12.8,1.4,8.6,3.4
0,1,19,333,73,13.9092,0,0,1,False,True,18.0,0.19,24.0,0.6456,6.4,0.6,3.1,3.4
0,1,14,220,67,13.355,0,0,1,False,True,16.0,0.19,24.0,0.6832,6.2,0.3,4.3,3.4
0,1,18,273,72,12.435,0,0,1,False,True,15.0,0.08,23.0,0.7622,0.7,0.0,3.1,3.4
0,1,10,192,64,15.7317,0,0,1,False,True,19.0,0.11,22.0,0.7622,0.7,0.0,3.1,3.4
1,-1,7,132,25,9.4737,0,0,0,False,True,19.0,0.15,19.0,0.7622,0.7,0.0,3.1,3.4
0,-1,9,171,45,10.5483,0,0,1,False,True,19.0,0.12,21.0,0.7647,8.0,0.3,4.4,3.4
0,-1,2,36,5,11.8331,0,0,1,False,True,18.0,0.01,17.0,0.7622,0.7,0.0,3.1,3.4
0,1,12,220,72,14.88,0,0,1,False,True,18.0,0.08,21.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,217,72,15.824,0,0,1,False,True,20.0,0.07,22.0,0.7653,0.3,0.1,3.1,3.4
0,1,17,254,72,14.7,0,0,1,False,True,15.0,0.09,23.0,0.7622,0.7,0.0,3.1,3.4
1,-1,2,25,2,3.53,0,0,1,False,True,12.0,0.07,18.0,0.7366,5.5,0.1,3.3,3.4
1,-1,1,22,3,8.8314,0,0,1,False,True,22.0,0.03,16.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,7,16.07,0,0,1,False,True,22.0,0.0,17.0,0.7622,0.7,0.0,3.1,3.4
1,1,14,243,71,14.7467,0,0,1,False,True,17.0,0.08,22.0,0.7622,0.7,0.0,3.1,3.4
